1, 45, 9, 1, 1
1, 44, 9, 1, 2
1, 43, 9, 1, 3
1, 43, 10, 1, 4
1, 42, 10, 1, 5
1, 42, 11, 1, 6
1, 42, 12, 1, 7
1, 41, 12, 1, 8
1, 41, 13, 1, 9
1, 40, 13, 1, 10
1, 40, 14, 1, 11
1, 39, 14, 1, 12
1, 39, 15, 1, 13
1, 39, 16, 1, 14
1, 39, 17, 1, 15
1, 38, 17, 1, 16
1, 38, 18, 1, 17
1, 38, 19, 1, 18
1, 38, 20, 1, 19
1, 38, 21, 1, 20
1, 38, 22, 1, 21
1, 38, 23, 1, 22
1, 37, 24, 1, 23
1, 37, 25, 1, 24
1, 36, 25, 1, 25
1, 36, 26, 1, 26
1, 35, 26, 1, 27
1, 35, 27, 1, 28
1, 36, 28, 1, 29
1, 36, 29, 1, 30
1, 36, 30, 1, 31
1, 36, 31, 1, 32
1, 36, 32, 1, 33
1, 35, 32, 1, 34
1, 35, 33, 1, 35
1, 34, 33, 1, 36
1, 34, 34, 1, 37
1, 33, 34, 1, 38
1, 33, 35, 1, 39
1, 32, 35, 1, 40
1, 32, 36, 1, 41
1, 32, 37, 1, 42
1, 53, 37, 2, 1)
1, 52, 37, 2, 2)
1, 52, 38, 2, 3)
1, 51, 38, 2, 4)
1, 50, 38, 2, 5)
1, 50, 39, 2, 6)
1, 49, 39, 2, 7)
1, 48, 39, 2, 8)
1, 47, 39, 2, 9)
1, 47, 40, 2, 10
1, 46, 40, 2, 11
1, 45, 40, 2, 12
1, 45, 39, 2, 13
1, 44, 39, 2, 14
1, 43, 38, 2, 15
1, 42, 38, 2, 16
1, 41, 38, 2, 17
1, 40, 38, 2, 18
1, 40, 39, 2, 19
1, 39, 39, 2, 20
1, 38, 39, 2, 21
1, 37, 40, 2, 22
1, 36, 40, 2, 23
1, 36, 41, 2, 24
1, 35, 41, 2, 25
1, 34, 41, 2, 26
1, 33, 41, 2, 27
1, 32, 41, 2, 28
1, 31, 42, 2, 29
1, 31, 33, 3, 1)
1, 31, 34, 3, 2)
1, 31, 35, 3, 3)
1, 31, 36, 3, 4)
1, 31, 37, 3, 5)
1, 48, 48, 4, 1)
1, 47, 48, 4, 2)
1, 46, 48, 4, 3)
1, 46, 47, 4, 4)
1, 45, 47, 4, 5)
1, 44, 47, 4, 6)
1, 43, 47, 4, 7)
1, 42, 47, 4, 8)
1, 41, 47, 4, 9)
1, 41, 48, 4, 10
1, 40, 48, 4, 11
1, 39, 48, 4, 12
1, 38, 47, 4, 13
1, 37, 47, 4, 14
1, 36, 48, 4, 15
1, 35, 48, 4, 16
1, 35, 49, 4, 17
1, 34, 49, 4, 18
